ID,County,State,TotalPop,Total income,poverty population,poverty percentage,percapitalincome
2587,Sangamon,Illinois,198134,6593295350.0,31013.0,16.0,33277.0
2588,Sanilac,Michigan,41535,993681352.0,6247.0,15.0,23924.0
2589,Sanpete,Utah,28892,503467551.0,4715.0,16.0,17426.0
2590,Santa Barbara,California,442996,14561908959.0,67987.0,15.0,32871.0
2591,Santa Clara,California,1911226,93056127127.0,168815.0,9.0,48689.0
2592,Santa Cruz,Arizona,46358,903154676.0,10206.0,22.0,19482.0
2593,Santa Cruz,California,273263,9943518183.0,41340.0,15.0,36388.0
2594,Santa Fe,New Mexico,147514,5281139617.0,20981.0,14.0,35801.0
2595,Santa Isabel Municipio,Puerto Rico,22475,235498216.0,11041.0,49.0,10478.0
2596,Santa Rosa,Florida,166778,4821158900.0,19328.0,12.0,28908.0
2597,Sarasota,Florida,404839,15000761921.0,42846.0,11.0,37054.0
2598,Saratoga,New York,226632,8986584179.0,14802.0,7.0,39653.0
2599,Sargent,North Dakota,3883,140592913.0,166.0,4.0,36207.0
2600,Sarpy,Nebraska,175188,5799284851.0,9275.0,5.0,33103.0
2601,Sauk,Wisconsin,63340,1794486321.0,7171.0,11.0,28331.0
2602,Saunders,Nebraska,20953,652956905.0,1893.0,9.0,31163.0
2603,Sawyer,Wisconsin,16384,486804631.0,2898.0,18.0,29712.0
2604,Schenectady,New York,155239,4654162929.0,19444.0,13.0,29981.0
2605,Schleicher,Texas,3122,87765664.0,318.0,10.0,28112.0
2606,Schley,Georgia,5168,102125018.0,1148.0,22.0,19761.0
2607,Schoharie,New York,31611,851999082.0,4210.0,13.0,26953.0
2608,Schoolcraft,Michigan,8114,174728516.0,1746.0,22.0,21534.0
2609,Schuyler,Illinois,7181,169976294.0,1546.0,22.0,23670.0
2610,Schuyler,Missouri,4450,88476333.0,821.0,18.0,19882.0
2611,Schuyler,New York,18112,457968142.0,2774.0,15.0,25285.0
2612,Schuylkill,Pennsylvania,144287,3639438633.0,17902.0,12.0,25224.0
2613,Scioto,Ohio,76871,1736178629.0,18703.0,24.0,22586.0
2614,Scotland,Missouri,4883,116144139.0,817.0,17.0,23785.0
2615,Scotland,North Carolina,35445,606204524.0,10606.0,30.0,17103.0
2616,Scott,Arkansas,10584,191325182.0,2176.0,21.0,18077.0
2617,Scott,Illinois,5109,137522643.0,761.0,15.0,26918.0
2618,Scott,Indiana,23722,573731970.0,3247.0,14.0,24186.0
2619,Scott,Iowa,171493,5281678533.0,21349.0,12.0,30798.0
2620,Scott,Kansas,4981,158520325.0,214.0,4.0,31825.0
2621,Scott,Kentucky,52322,1606404421.0,6263.0,12.0,30702.0
2622,Scott,Minnesota,141463,5421094787.0,8009.0,6.0,38322.0
2623,Scott,Mississippi,28399,582748683.0,7904.0,28.0,20520.0
2624,Scott,Missouri,38858,891357020.0,7807.0,20.0,22939.0
2625,Scott,Tennessee,21949,411494215.0,5756.0,26.0,18748.0
2626,Scott,Virginia,22290,467391371.0,3942.0,18.0,20969.0
2627,Scotts Bluff,Nebraska,36509,968658042.0,4780.0,13.0,26532.0
2628,Screven,Georgia,14037,284320235.0,3169.0,23.0,20255.0
2629,Scurry,Texas,17346,418735682.0,2338.0,13.0,24140.0
2630,Searcy,Arkansas,7925,170194055.0,1380.0,17.0,21476.0
2631,Sebastian,Arkansas,127362,3045961345.0,28757.0,23.0,23916.0
2632,Sedgwick,Colorado,2357,58137762.0,401.0,17.0,24666.0
2633,Sedgwick,Kansas,510484,14080834557.0,75406.0,15.0,27583.0
2634,Seminole,Florida,449260,14090349753.0,52992.0,12.0,31363.0
2635,Seminole,Georgia,8549,181723356.0,2184.0,26.0,21257.0
2636,Seminole,Oklahoma,25246,494939863.0,5765.0,23.0,19605.0
2637,Seneca,New York,34843,924752193.0,4043.0,12.0,26541.0
2638,Seneca,Ohio,55549,1388963503.0,8508.0,15.0,25004.0
2639,Sequatchie,Tennessee,14654,333284410.0,2104.0,14.0,22744.0
2640,Sequoyah,Oklahoma,41364,796377509.0,10198.0,25.0,19253.0
2641,Sevier,Arkansas,17206,316388963.0,3646.0,21.0,18388.0
2642,Sevier,Tennessee,95523,2225471860.0,14720.0,15.0,23298.0
2643,Sevier,Utah,20961,444284742.0,2798.0,13.0,21196.0
2644,Seward,Kansas,22948,485531901.0,4279.0,19.0,21158.0
2645,Seward,Nebraska,17045,501083064.0,1573.0,9.0,29398.0
2646,Shackelford,Texas,3348,81343008.0,593.0,18.0,24296.0
2647,Shannon,Missouri,8273,148111955.0,2525.0,31.0,17903.0
2648,Sharkey,Mississippi,4631,79616280.0,1349.0,29.0,17192.0
2649,Sharp,Arkansas,17041,342150751.0,3974.0,23.0,20078.0
2650,Shasta,California,178919,4733247764.0,32530.0,18.0,26455.0
2651,Shawano,Wisconsin,41136,1095337409.0,4734.0,12.0,26627.0
2652,Shawnee,Kansas,178392,5099067889.0,23836.0,13.0,28584.0
2653,Sheboygan,Wisconsin,115094,3320362812.0,9381.0,8.0,28849.0
2654,Shelby,Alabama,208721,7374039453.0,17839.0,9.0,35330.0
2655,Shelby,Illinois,21906,543447492.0,2658.0,12.0,24808.0
2656,Shelby,Indiana,44339,1211222315.0,4714.0,11.0,27317.0
2657,Shelby,Iowa,11772,362562847.0,1020.0,9.0,30799.0
2658,Shelby,Kentucky,45831,1385928796.0,5682.0,12.0,30240.0
2659,Shelby,Missouri,6084,135974261.0,939.0,15.0,22349.0
2660,Shelby,Ohio,48902,1389309042.0,4345.0,9.0,28410.0
2661,Shelby,Tennessee,937847,26369073029.0,195556.0,21.0,28117.0
2662,Shelby,Texas,25689,531392883.0,5924.0,23.0,20686.0
2663,Shenandoah,Virginia,42854,1157731600.0,4423.0,10.0,27016.0
2664,Sherburne,Minnesota,92024,3041208563.0,6109.0,7.0,33048.0
2665,Sheridan,Kansas,2497,75321553.0,120.0,5.0,30165.0
2666,Sheridan,Montana,3568,117147804.0,435.0,12.0,32833.0
2667,Sheridan,Nebraska,5241,135305335.0,824.0,16.0,25817.0
2668,Sheridan,North Dakota,1403,47943316.0,216.0,15.0,34172.0
2669,Sheridan,Wyoming,29964,948157023.0,2046.0,7.0,31643.0
2670,Sherman,Kansas,5999,153891066.0,991.0,17.0,25653.0
2671,Sherman,Nebraska,3048,85292184.0,326.0,11.0,27983.0
2672,Sherman,Oregon,1635,55959510.0,224.0,14.0,34226.0
2673,Sherman,Texas,3067,77772986.0,454.0,15.0,25358.0
2674,Shiawassee,Michigan,68617,1730401363.0,9026.0,13.0,25218.0
2675,Shoshone,Idaho,12490,297686652.0,2175.0,17.0,23834.0
2676,Sibley,Minnesota,14888,444919137.0,1271.0,9.0,29884.0
2677,Sierra,California,2885,91598750.0,355.0,12.0,31750.0
2678,Sierra,New Mexico,11254,256020332.0,2400.0,21.0,22749.0
2679,Silver Bow,Montana,34514,905932226.0,6630.0,19.0,26248.0
2680,Simpson,Kentucky,17881,405240024.0,3103.0,17.0,22663.0
2681,Simpson,Mississippi,27215,526216810.0,7397.0,27.0,19336.0
2682,Sioux,Iowa,34692,948428993.0,2730.0,8.0,27339.0
2683,Sioux,Nebraska,1256,33726112.0,156.0,12.0,26852.0
2684,Sioux,North Dakota,4420,70473644.0,1640.0,37.0,15944.0
2685,Siskiyou,California,43530,1071075452.0,9002.0,21.0,24605.0
2686,Sitka City and Borough,Alaska,8810,322597720.0,812.0,9.0,36617.0
2687,Skagit,Washington,121725,3660197866.0,17454.0,14.0,30069.0
