Crash ID,Vehicle ID,Vehicle Ownership Code,Vehicle Special Use Code,Vehicle Type Code,Emergency Use Flag,Number of Trailers,Vehicle Movement Code,Vehicle Travel Direction From,Vehicle Travel Direction To,Vehicle Action Code,Vehicle Cause 1 Code,Vehicle Cause 2 Code,Vehicle Cause 3 Code,Vehicle Event 1 Code,Vehicle Event 2 Code,Vehicle Event 3 Code,Vehicle Exceeded Posted Speed Flag,Vehicle Hit & Run Flag,Safety Equipment Used Quantity,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag
1828982,3444362,0,6,3,7,12,0,,,,,,0,0,0,0,1,1,0,,,,
1828982,3444362,,,,,,,,,,,,,,,,,,,1,0,0,2
1829693,,,,,,,,,,,,,,,,,,,,,,,
1829693,3445767,0,1,3,7,0,0,,,128,124,77,0,0,2,0,0,2,1,,,,
1829693,3445767,,,,,,,,,,,,,,,,,,,1,0,0,2
1829693,3445767,,,,,,,,,,,,,,,,,,,2,0,0,2
1829718,,,,,,,,,,,,,,,,,,,,,,,
1829718,3445819,0,1,5,1,0,0,,,,,,0,0,1,0,0,1,1,,,,
1829718,3445819,,,,,,,,,,,,,,,,,,,1,0,0,2
1829718,3445820,0,3,5,7,6,0,,,,,,0,0,2,0,0,2,0,,,,
1829718,3445820,,,,,,,,,,,,,,,,,,,1,0,0,2
1829755,,,,,,,,,,,,,,,,,,,,,,,
1829755,3445889,0,1,1,5,0,0,,,128,79,,0,0,1,0,0,1,1,,,,
1829755,3445889,,,,,,,,,,,,,,,,,,,1,0,0,2
1829763,,,,,,,,,,,,,,,,,,,,,,,
1829763,3445902,0,1,7,3,0,0,,,,,,0,0,1,0,1,2,1,,,,
1829763,3445902,,,,,,,,,,,,,,,,,,,1,0,0,1
1829763,3445903,0,6,7,3,11,0,,,,,,0,0,2,0,0,2,0,,,,
1829763,3445903,,,,,,,,,,,,,,,,,,,1,0,0,1
1829763,3445903,,,,,,,,,,,,,,,,,,,2,0,0,1
1829797,,,,,,,,,,,,,,,,,,,,,,,
1829797,3445962,0,1,7,3,0,0,,,,,,0,0,1,0,0,1,1,,,,
1829797,3445962,,,,,,,,,,,,,,,,,,,1,0,0,1
1829797,3445963,0,3,3,5,0,0,,,,,,0,0,2,0,0,2,0,,,,
1829797,3445963,,,,,,,,,,,,,,,,,,,1,0,0,2
1829853,,,,,,,,,,,,,,,,,,,,,,,
1829853,3446070,0,1,3,7,0,0,,,128,,,0,0,1,0,0,1,1,,,,
1829853,3446070,,,,,,,,,,,,,,,,,,,1,0,0,1
1829853,3446071,0,1,7,3,0,0,,,128,,,0,0,4,0,0,1,0,,,,
1829853,3446071,,,,,,,,,,,,,,,,,,,1,0,0,1
1829853,3446071,,,,,,,,,,,,,,,,,,,2,0,0,2
1829867,,,,,,,,,,,,,,,,,,,,,,,
